"No.","Time","Source","Destination","Protocol","Length","Info"
"74","61.706775797","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=18/4608, ttl=64 (request in 73)"
"75","62.062705625","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"76","62.730539321","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=19/4864, ttl=64 (reply in 77)"
"77","62.730787231","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=19/4864, ttl=64 (request in 76)"
"78","63.754541805","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=20/5120, ttl=64 (reply in 79)"
"79","63.754804762","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=20/5120, ttl=64 (request in 78)"
"80","64.065248158","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"81","64.778549542","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=21/5376, ttl=64 (reply in 82)"
"82","64.778783932","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=21/5376, ttl=64 (request in 81)"
"83","65.802526990","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=22/5632, ttl=64 (reply in 84)"
"84","65.802754161","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=22/5632, ttl=64 (request in 83)"
"85","66.067799275","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"86","66.826551374","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=23/5888, ttl=64 (reply in 87)"
"87","66.826805163","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=23/5888, ttl=64 (request in 86)"
"88","67.850544841","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=24/6144, ttl=64 (reply in 89)"
"89","67.850805591","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=24/6144, ttl=64 (request in 88)"
"90","68.070367247","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"91","68.874540438","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=25/6400, ttl=64 (reply in 92)"
"92","68.874780378","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=25/6400, ttl=64 (request in 91)"
"93","69.898546003","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=26/6656, ttl=64 (reply in 94)"
"94","69.898755353","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=26/6656, ttl=64 (request in 93)"
"95","70.072931623","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"96","70.922540955","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x1a2b, seq=27/6912, ttl=64 (reply in 97)"
"97","70.922771884","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x1a2b, seq=27/6912, ttl=64 (request in 96)"
"98","71.046209808","ec:75:0c:c2:51:49","8c:90:2d:fd:a5:fb","ARP","60","Who has 172.16.40.1? Tell 172.16.40.254"
